COMPETENCIA;IBGE;UF;MUNICIPIO;CNES;NOME_FANTASIA;RAZAO_SOCIAL;CNPJ_PROPRIO;CNPJ_MANTENEDORA;TIPO_GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823970;MARCOS VINICIO PINHEIRO;MARCOS VINICIO PINHEIRO;;;M;RUA CORONEL FRANCISCO BRAGA;75;CENTRO;29300220
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3824020;PRISCILA SILVA DE OLIVEIRA;PRISCILA SILVA DE OLIVEIRA;;;M;IDELFONSO VIANA;10;INDEPENDENCIA;29306390
202107;320490;ES;SAO MATEUS;3807878;CLAMET;CLINICA MEDICA AMBULATORIAL MEDICINA DO TRABALHO LTDA;3,93979E+13;;M;RUA LICINIO BASTOS;459;BOA VISTA;29931665
202107;320490;ES;SAO MATEUS;3807924;MARIA IZABEL DEMUNER ALMEIDA;MARIA IZABEL DEMUNER ALMEIDA;;;M;RUA DR ARLINDO SODRE;455;FATIMA;29933540
202107;320530;ES;VITORIA;3812197;PERFIL LINEAR;PERFIL LINEAR CLINICA DE FISIOTERAPIA LTDA EPP;5,4112E+12;;E;RUA CARLOS MARTINS;112;JARDIM CAMBURI;29090060
202107;320530;ES;VITORIA;3812251;EVELYNE MONTEIRO SILVA;EVELYNE MONTEIRO SILVA;;;M;RUA MISAEL PEDREIRA DA SILVA;48;PRAIA DO SUA;29050270
202107;320520;ES;VILA VELHA;3825906;ADELMO REZENDE FERREIRA DA COSTA;ADELMO REZENDE FERREIRA DA COSTA;;;M;RUA ITAGARCA;399;ITAPARICA;29102100
202107;320520;ES;VILA VELHA;3825957;CLAUDETE SIMOES MORAES;CLAUDETE SIMOES MORAES;;;M;RUA ITAGARCA;399;ITAPARICA;29102170
202107;320520;ES;VILA VELHA;3826082;PAULO CESAR LARANJA LEITE;PAULO CESAR LARANJA LEITE;;;M;RUA ITAGARCAS;399;PRAIA DE ITAPARICA;29102170
202107;320520;ES;VILA VELHA;3825973;CLINICA KUSTER;MILLENIUM CENTRO DE MEDICINA E CIRURGIA LTDA;4,52625E+12;;E;DOUTOR FREITAS LIMA;93;CENTRO;29100380
202107;320520;ES;VILA VELHA;3826015;JOSE SILVA HENRIQUE;JOSE SILVA HENRIQUE;;;M;RUA ITAGARCA;399;ITAPARICA;29102170
202107;320520;ES;VILA VELHA;3826066;MARIA ANATOLIA CHAVES DOS REIS;MARIA ANATOLIA CHAVES DOS REIS;;;M;RUA ITAGARCA;399;ITAPARICA;29102170
202107;320460;ES;SANTA TERESA;3261689;DENTALI;MARIA LETICIA DE AZEVEDO;;;M;AV JOSE RUSCHI;246;CENTRO;29650000
202107;320460;ES;SANTA TERESA;3261530;CONSULTORIO MEDICO DR WALLACE MAGALHAES;WALLACE MAGALHAES;;;M;PRACA AUGUSTO RUSCHI;11;CENTRO;29650000
202107;320320;ES;LINHARES;6334938;DANIELLY PIFER BRZESKY;DANIELLY PIFER BRZESKY;;;M;AVENIDA GOVERNADOR CARLOS LINDEMBERG;792;CENTRO;29904410
202107;320420;ES;PIUMA;3592855;CENTRO DE ESPECIALIDADES DE PIUMA;PREFEITURA MUNICIPAL DE PIUMA;;2,71657E+13;M;RUA NICANOR SERAFIN DOS ANJOS;S/N;CENTRO;29285000
202107;320320;ES;LINHARES;2465825;HOSPITAL GERAL DE LINHARES HGL;LINHARES;;2,71674E+13;M;RUA MONSENHOR PEDRINHA;800;ARACA;29900070
202107;320520;ES;VILA VELHA;5659493;CENTRO ODONTOLOGICO NURA;CENTRO ODONTOLOGICO NURA LTDA;4,72941E+12;;M;JERONIMO MONTEIRO;1352;CENTRO DE VILA VELHA;29100400
202107;320405;ES;PEDRO CANARIO;3141160;PROLAB LABORATORIO DE PROTESE DENTARIA;VANDERLEY CANI SANTOS;;;M;AV FRANCISCO RODRIGUES DUTRA;35;CENTRO;29970000
202107;320150;ES;COLATINA;3845419;CEO CENTRO DE ESPECIALIDADES ODONTOLOGICA DE COLATINA;PREFEITURA MUNICIPAL DE COLATINA;;2,71657E+13;M;RUA SANTA MARIA;215;CENTRO;29700200
202107;320150;ES;COLATINA;3802825;LEILA FUCCI BAPTISTA;LEILA FUCCI BAPTISTA;;;M;AVENIDA GETULIO VARGAS;500;CENTRO;29700010
202107;320520;ES;VILA VELHA;5659450;ANDERSON MEDEIROS DAMASCENO;ANDERSON MEDEIROS DAMASCENO;;;M;AVENIDA CHAMPAGNAT;583;PRAIA DA COSTA;29101320
202107;320150;ES;COLATINA;3850218;ULTRASSONOGRAFIA DR ELIELSON FRANCISCO COSTA;ULTRASSONOGRAFIA DR ELIELSON FRANCISCO COSTA;;;M;RUA ALVARO ANTOLINI;40;ESPLANADA;29702090
202107;320520;ES;VILA VELHA;3387925;FISIODERM;DANIELLE DENADAI;;;M;RUA VINICIOS TORRES;677;PRAIA DA COSTA;29100430
202107;320530;ES;VITORIA;3336905;REAL ORTO;ROGERIO HOTT CHAVES;2,83212E+13;;E;AV AMERICO BUAIZ;501;ENSEADA DO SUA;29050911
202107;320332;ES;MARATAIZES;3656926;CONSULTORIO ODONTOLOGICO WADSON JOSE GONCALVES LIMA;WADSON JOSE GONCALVES LIMA;;;M;AV ATLANTICA;754;CENTRO;29345000
202107;320530;ES;VITORIA;3651150;ANDREA LUIZA SILVEIRA DAS DORES VIEIRA;ANDREA LUIZA SILVEIRA DAS DORES VIEIRA;;;M;AV AMERICO BUAIZ;501;ENSEADA DO SUA;29055180
202107;320503;ES;VARGEM ALTA;3855430;CAPS I;PREFEITURA MUNICIPAL DE VARGEM ALTA;;3,17236E+13;M;RUA SANTA CECILIA;S/N;CENTRO;29295000
202107;320334;ES;MARECHAL FLORIANO;3206432;CLIMLAB CLINICA MEDICA E LABORATORIO;C S STEIN LTDA ME;2,64871E+12;;M;RUA EMILIO HULLE;152;CENTRO;29255000
202107;320265;ES;IRUPI;3187608;GEOVANI BARREIRO;GEOVANI BARREIRO;;;M;RUA JALMAS GOMES DE FREITAS;331;CENTRO;29398000
202107;320320;ES;LINHARES;3417166;UNICOR ES;INSTITUTO CARDIOVASCULAR DE LINHARES LTDA;5,04507E+12;;M;AV JOAO FELIPE CALMON;1285;CENTRO;29900010
202107;320230;ES;GUACUI;3472337;CIRCE EMERY ARAUJO E SILVA;CIRCE EMERY ARAUJO E SILVA;;;M;AV ESPIRITO SANTO;S/N;CENTRO;29560000
202107;320320;ES;LINHARES;3950395;IGNEZ ANTONIA PIANCA LIMA;IGNEZ ANTONIA PIANCA LIMA;;;M;AV JONES SANTOS NEVES;1271;CENTRO;29900030
202107;320530;ES;VITORIA;9086064;CAPTAMED;CAPTAMED CUIDADOS CONTINUADOS LTDA;5,50362E+12;;E;RUA GENERAL CAMARA;222;PRAIA DO CANTO;29052260
202107;320240;ES;GUARAPARI;3960269;CENTRO CARDIOLOGICO DE GUARAPARI LTDA;CENTRO CARDIOLOGICO DE GUARAPARI LTDA;3,7783E+12;;M;RUA DAVINO MATTOS;S/N;CENTRO;29200140
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3958620;ALCIDES BARATA FILHO;ALCIDES BARATA FILHO;;;M;AV LACERDA DE AGUIAR;10;GILBERTO MACHADO;29303300
202107;320490;ES;SAO MATEUS;3950816;HMT MEDICINA E PLANEJAMENTO;JOSE EDUARDO PAVAN;;;M;PRACA SAO BENEDITO;332;CENTRO;29930330
202107;320500;ES;SERRA;3950832;CIRURGIA GERAL DO VAH;CIRURGIA GERAL DO VAH S C LTDA;4,60848E+12;;M;RODOVIA BR 101 NORTE KM 02;S/N;CARAPINA;29176798
202107;320500;ES;SERRA;3950859;LEONARDO CARLONI PEIXOTO;LEONARDO CARLONI PEIXOTO;;;M;AVENIDA ABIDO SAADI;636;JACARAIPE;29175520
202107;320530;ES;VITORIA;9075739;VITOR LINHALES GONZALEZ;VITOR LINHALES GONZALEZ;;;M;RUA SERYNES PEREIRA FRANCO;15;PONTAL DE CAMBURI;29062060
202107;320500;ES;SERRA;3950875;MEDIVIL;MEDIVIL MEDICOS INTENSIVISTAS DA GRANDE VITORIA LTDA;4,56903E+12;;E;RODOVIA GOVERNADOR MARIO COVAS;591;BOA VISTA II;29161900
202107;320520;ES;VILA VELHA;3959295;CLINICORDIS;CLINICA DR JORGE LUIZ DE JESUS NEVES LTDA ME;1,76104E+12;;M;HENRIQUE LARANJA;480;CENTRO DE VILA VELHA;29100350
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3960862;ALZIMARA HEMERLY DE ALMEIDA FREITAS;ALZIMARA HEMERLY DE ALMEIDA FREITAS;;;M;RUA IZIDORO BARBIERI;1;CENTRO;29300160
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3960889;JOSE COIMBRA DE REZENDE NETO;JOSE COIMBRA DE REZENDE NETO;;;M;AVENIDA FRANCISCO LACERDA DE AGUIAR;177;GILBERTO MACHADO;29303387
202107;320500;ES;SERRA;9079416;CENTRO DE MEDICINA NUCLEAR LTDA;CENTRO DE MEDICINA NUCLEAR LTDA;3,09554E+13;;E;AV CIVIT;S/N;CIVIT II;29165680
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;9071962;PEDRO VALE MACHADO;PEDRO VALE MACHADO;;;M;AV FRANSCISCO LACERDA DE AGUIAR;177;GILBERTO MACHADO;29307201
202107;320320;ES;LINHARES;3974847;CARLA CASAGRANDE;CARLA CASAGRANDE;;;M;RUA DA CONCEICAO;146;CENTRO;29900320
202107;320320;ES;LINHARES;3974901;ISABEL PIERINA ZOPPE BRANDAO;ISABEL PIERINA ZOPPE BRANDAO;;;M;AV PRESIDENTE GETULIO VARGAS;1220;CENTRO;29900210
202107;320290;ES;ITARANA;3981460;ELUIZ CARLOS CAETANO DE ALMEIDA;ELUIZ CARLOS CAETANO DE ALMEIDA;;;M;RUA MARTINHO MAXIMO SCARDUA;129;CENTRO;29620000
202107;320060;ES;ARACRUZ;9035338;CDI ARACRUZ;CDI ARACRUZ LTDA ME;2,40786E+13;;M;FLORESTAL;476;SEGATO;29192154
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3981681;JOAO HENRIQUE VENTURY;JOAO HENRIQUE VENTURY;;;M;RUA ANTONIO CAETANO GONCALVES;2;GILBERTO MACHADO;29303060
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3987299;ANDERSON MAGALHAES ZERBONE;ANDERSON MAGALHAES ZERBONE;;;M;AV FRANCISCO LACERDA DE AGUIAR;22;GILBERTO MACHADO;29303300
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3987310;JOSE AMERICO FABER DA SILVA;JOSE AMERICO FABER DA SILVA;;;M;AV FRANCISCO LACERDA DE AGUIAR;70;GILBERTO MACHADO;29303300
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3987345;JOSE RENATO DIAS FEDERICI;JOSE RENATO DIAS FEDERICI;;;M;AV FRANISCO LACERDA DE AGUIAR;10;GILBERTO MACHADO;29303300
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3987477;SABINA BANDEIRA ALEIXO;SABINA BANDEIRA ALEIXO;;;M;AV FRANCISCO LACERDA DE AGUIAR;22;GILBERTO MACHADO;29303300
202107;320500;ES;SERRA;3972909;CAPS AD LARANJEIRAS;PREFEITURA MUNICIPAL DA SERRA;;2,71741E+13;M;RUA ALVARES CABRAL;213;PARQUE RESIDENCIAL L;29165420
202107;320520;ES;VILA VELHA;3981339;ODONTOLOGIA ESPECIALIZADA STEIN LTDA;ODONTOLOGIA ESPECIALIZADA STEIN LTDA;4,78408E+12;;M;CABO AILSON SIMOES;560;CENTRO;29100320
202107;320390;ES;NOVA VENECIA;3968928;CARDIOL;CARDIOL CLINICA DE CARDIOLOGIA LTDA;7,35752E+12;;M;AVENIDA DR ANTONIO DOS SANTOS NEVES;17;MARGARETH;29830000
202107;320390;ES;NOVA VENECIA;3988066;CONSULTORIO ODONTOLOGICO DR SERVULO RODRIGUES TRINDADE;DR SERVULO RODRIGUES TRINDADE;;;M;AVENIDA VITORIA;146;CENTRO;29830000
202107;320520;ES;VILA VELHA;3981290;NORMA PERSIO;NORMA PERSIO;;;M;RUA CABO AILTON SIMOES;395;CENTRO;29100032
202107;320530;ES;VITORIA;3987647;CENTRO DE OLHOS LTDA;CENTRO DE OLHOS LTDA;2,18806E+12;;E;AVENIDA NOSSA SENHORA DA PENHA;714;PRAIA DO CANTO;29055130
202107;320530;ES;VITORIA;3987752;ODONTOCLIN;ACE CLINICA ODONTOLOGICA LTDA;7,16193E+12;;E;RUA WELLINGTON DE FREITAS;151;JARDIM CAMBURI;29090240
202107;320320;ES;LINHARES;9066926;LASA;LASA LINHARES AGROINDUSTRIAL SA;2,72914E+13;;M;FAZ CORREGO DAS PEDRAS BR 101 KM 141;S/N;ZONA RURAL;29900970
202107;320320;ES;LINHARES;9067825;NADINE MOREIRA SILVA;NADINE MOREIRA SILVA ME;2,7376E+13;;M;AV CELESTE FAE;122;NS CONCEICAO;29900521
202107;320520;ES;VILA VELHA;9078827;LABORATORIO LABORTEL POSTO DE COLETA SANTA RITA;LABORATORIO PAIVA LABORTEL LTDA;2,74145E+13;;M;FERNANDO ANTONIO DA SILVEIRA;74;SANTA RITA;29118450
202107;320320;ES;LINHARES;9076956;VITALITY STUDIO DE PILATES E TERAPIAS;VITALITY STUDIO DE TERAPIAS LTDA ME;2,60703E+13;;M;AV TUPINAMBAS;399;LAGOA DO MEIO;29904025
202107;320520;ES;VILA VELHA;9075151;FISIO AMARE;JOSIANE DE JESUS AZEVEDO BARCELLOS FISIO AMARE;2,48199E+13;;M;ITACIBA;135;PRAIA DE ITAPARICA;29102280
202107;320520;ES;VILA VELHA;9080368;CONSULTORIO DE PSICOLOGIA;R MORAIS CLINICA DE PSICOLOGIA;3,51596E+13;;M;CHAMPAGNAT;501;PRAIA DA COSTA;29101390
202107;320520;ES;VILA VELHA;9080155;SELECT INSTITUTO ODONTOLOGICO EIRELI ME;SELECT INSTITUTO ODONTOLOGICO EIRELI ME;2,44177E+13;;M;CABO AYLSON SIMOES;560;CENTRO DE VILA VELHA;29100320
202107;320490;ES;SAO MATEUS;9153683;ROSEANA ROCHA LOZER;ROSEANA ROCHA LOZER;;;M;RUA JOSE DAHER;127;FATIMA;29933610
202107;320520;ES;VILA VELHA;9167056;VICTOR CASTIGLIONI FRIZERA;VICTOR CASTIGLIONI FRIZERA;;;M;RUA PROFESSOR TELMO TORRES;255;PRAIA DA COSTA;29101295
202107;320320;ES;LINHARES;3992195;MAURO ELIZIO LOPES;MAURO ELIZIO LOPES;;;M;AV JOAO FELIPE CALMON;1262;CENTRO;29900010
202107;320270;ES;ITAGUACU;3993841;CONSULTORIO DE FISIOTERAPIA LUZIANE;LUZIANE DIAS DE CARVALHO;;;M;RUA MANOEL FRANCISCO SOARES;385;CENTRO;29690000
202107;320265;ES;IRUPI;3187667;JOSE HERMES BATISTA JUNIOR;JOSE HERMES BATISTA JUNIOR;;;M;RUA JALMAS GOMES DE FREITAS;S/N;CENTRO;29398000
202107;320520;ES;VILA VELHA;9971076;TMB SERVICOS MEDICOS;THIAGO MARIANI BAPTISTA SERVICOS MEDICOS;1,99973E+13;;M;SANTA ROSA;254;GLORIA;29122290
202107;320530;ES;VITORIA;5004314;BERNARDO SURERUS;BERNARDO SURERUS;;;M;RUA JOSE FARIAS;98;SANTA LUIZA;29045230
202107;320530;ES;VITORIA;5004330;ELIANA LUZ VICENTINI;ELIANA LUZ VICENTINI;;;M;PRACA SAN MARTIN;56;PRAIA DO CANTO;29057130
202107;320530;ES;VITORIA;5004357;GENOMA;LABORATORIO DE GENETICA DO ESPIRITO SANTO LTDA;5,30076E+11;;E;RUA MAJOR CLAUDIO FUNDAO;156;PRAIA DO CANTO;29055655
202107;320530;ES;VITORIA;5004411;NEON NUCLEO ESPECIALIZADO EM ONCOLOGIA;NEON NUCLEO ESPECIALIZADO EM ONCOLOGIA S A;4,78649E+12;;E;RUA CONSTANTE SODRE;750;SANTA LUCIA;29056310
202107;320530;ES;VITORIA;5007291;ALCEU DE AZEVEDO FALCAO NETO;ALCEU DE AZEVEDO FALCAO NETO;;;M;AV NOSSA SENHORA DA PENHA;368;SANTA LUCIA;29055131
202107;320530;ES;VITORIA;5007348;CELIA MAGIONI;CELIA MAGIONI;;;M;RUA ULISSES SARMENTO;24;PRAIA DO SUA;29052320
202107;320520;ES;VILA VELHA;9932003;MULTIGLIA ESPACO CLINICO E EDUCACIONAL;MULTIGLIA ESPACO CLINICO E EDUCACIONAL LTDA;3,29288E+13;;M;HENRIQUE MOSCOSO;1680;CENTRO DE VILA VELHA;29100020
202107;320500;ES;SERRA;9998217;CLINICA NOVO DENTE;NOVO DENTE CLINICA ODONTOLOGICA LTDA;3,37434E+13;;M;AV BRASIL;982;NOVO HORIZONTE;29163331
202107;320320;ES;LINHARES;9921761;MAIRA PEZZIN GIUBERTI;MAIRA PEZZIN GIUBERTI;;;M;AV NICOLA BIANCARDI;1093;CENTRO;29900207
202107;320340;ES;MIMOSO DO SUL;3994252;CONSULTORIO ODONTOLOGICO DR LUIZ CARLOS IVO DE MORAIS;LUIZ CARLOS IVO DE MORAIS;;;M;RUA CORONEL PAIVA GONCALVES;15;CENTRO;29400000
202107;320530;ES;VITORIA;9939180;FILIPE RUBIM COSTA;FILIPE RUBIM COSTA;;;M;AVENIDA CORONEL JOSE MARTINS DE FIGUEIREDO;1247;MARUIPE;29043060
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;9962158;D T SAUDE LTDA;D T SAUDE LTDA;2,38805E+13;;M;JERONYMO MONTEIRO;15;CENTRO;29300170
